RegionID,SizeRank,RegionName,State,CountyName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31
37211,37,Atlanta,GA,Fulton County,331814,334567,337343,338886,338871,337707,337163,338453,341870,346133,351078,355907,361509,367743,374653,380843,386597,391826,396139,399274,401717,404646,408177,412088,418216,426314,435504,443548,450127,455524,457797,456878,453188,450001,447254,445110,443433,442574,442763,443257,443825,444254,444646,445473,446615,447832,449079,449974,450859,451883,453810,455716,456298,455132,453366,452031,450994,449736,448429,447244,446444,445824,444852,443446,441193,438681,436053,434025,432910,432094,431693,431165
12562,68,Marietta,GA,Cobb County,317810,319932,322150,323644,324056,324098,324749,326783,329928,333888,338490,343095,347663,352749,358512,364878,371662,378717,384390,388260,390870,394409,399203,404902,412261,421217,431969,442328,450753,456419,459017,459201,457714,456197,455122,454528,454161,454166,455292,457211,460481,464304,468281,471423,473696,475425,476864,478016,478822,480715,483873,487761,490216,490853,490397,490144,490217,490313,490082,489578,488830,488034,486849,486161,485703,485599,485142,484764,484781,484909,484483,483730
5573,95,Lawrenceville,GA,Gwinnett County,240962,242573,243965,245118,245684,246120,246917,248645,251285,254849,259209,263808,268404,273160,278198,283501,289524,296355,302897,308459,313064,318424,324847,332326,340940,350064,359574,368590,376647,383180,386949,387760,386438,384523,382508,380353,377995,375939,374422,373901,374600,376489,379107,381921,384278,385848,386788,387527,388181,389518,391541,393674,395279,396121,396851,397542,397713,397204,395928,394702,393513,392435,390712,388881,386668,384570,382506,380945,380130,379873,379477,378943
47584,138,Savannah,GA,Chatham County,194126,195313,196396,197386,197834,198051,198661,200207,202691,205523,208462,211272,214132,217107,220254,223353,226837,230541,233863,236107,237446,238994,241548,244685,249348,255229,262201,268676,274555,279848,284194,286912,288552,290166,291790,293006,293258,293908,295717,298761,302125,305308,308538,311811,314992,317790,320259,322200,323838,325121,326982,328917,330903,332247,333505,334810,335784,336194,335788,335426,335062,334506,333145,331235,329185,327411,326200,325702,325489,325135,324468,323799
44821,189,Cumming,GA,Forsyth County,359051,360814,362441,363642,363976,363947,364507,366431,369917,374472,379932,385518,391594,398004,405076,412821,421813,431626,441117,449207,456489,464074,472895,482307,493769,506400,520982,535466,548908,559533,565225,566000,563094,559829,557187,555021,552645,550991,551061,553042,556908,562081,567975,573995,579475,584359,588564,592370,595548,598874,603299,608154,611584,612530,612206,612117,612365,612289,611979,611174,610431,609309,607931,606841,605446,603802,602026,600587,599825,599225,598816,598635
17539,193,Columbus,GA,Muscogee County,107092,107811,108181,108484,108497,108425,108604,109602,111010,112850,114909,117262,119762,121937,123981,125638,127335,129032,130176,130431,129828,129715,130492,131881,134136,136850,139632,141675,143075,144509,145815,146771,147368,147847,148330,148288,147682,146983,147156,148104,149341,150209,150892,151846,153126,154291,155238,155636,155924,156335,157257,158302,158968,159537,160214,161164,161485,161843,162355,163404,164366,164976,164952,164488,164002,163844,164006,164183,164646,165302,166139,166813
10210,220,Augusta,GA,Richmond County,107858,108583,109859,111360,112402,112918,113403,114515,116399,118795,121382,123689,125690,127693,129770,131839,133717,135666,137100,137886,138147,138933,140281,141703,144212,147745,151648,154538,156411,158290,159955,161247,162257,163396,164461,164952,164198,163262,162969,164009,165344,166174,166387,166538,167026,167597,167953,167961,167884,168214,169077,170456,171665,172463,172532,172385,172157,172193,172222,172292,172257,171833,170878,169692,168761,168273,168091,168072,168335,168842,169531,170130
32626,239,Macon,GA,Bibb County,106579,107186,107496,107809,107690,107520,107491,108231,109648,111543,113726,116043,118081,119749,120947,122416,124570,127435,129351,130155,129926,130255,130957,132067,134160,137142,140634,143778,146642,149841,152898,154850,155879,156554,157143,156880,155612,154547,154904,156453,158192,159510,160414,161250,161523,161769,161864,161906,161545,161382,162101,163516,165214,166676,167416,167801,167518,167488,167151,167160,166900,166469,165487,164285,163424,162938,162938,163169,163709,164496,165107,165666
44879,281,Decatur,GA,Dekalb County,218381,220183,222071,222503,221729,220686,220587,221784,224299,227642,231264,234696,238029,241984,246749,251925,257094,261828,265469,267964,269738,271707,274410,277604,282817,288901,295729,301583,306755,311276,314067,314961,314085,312802,311075,308998,306224,304127,302718,302473,302620,303112,304100,305444,306744,307848,308590,309228,309377,309658,310109,310652,310370,309468,308405,307812,307367,306684,305428,303551,301228,298873,296200,293354,290370,287562,285413,283696,282703,281688,280919,280063
24822,304,Gainesville,GA,Hall County,228528,229945,231081,232088,232390,232476,233038,234954,238161,242110,246494,251001,255586,260591,265368,270065,274560,279608,284370,288400,292008,295951,300765,305965,312752,320739,329170,336993,343195,348266,351053,352272,351982,351581,350737,349843,348385,347554,347490,348226,349925,352226,354849,357541,359983,362121,363335,364129,364766,365986,368096,370630,372907,373950,374648,375228,375848,375766,375084,374715,375021,375361,374924,373870,372569,371038,369442,368121,367593,367503,367726,368092
